createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,token_burn_ratio,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
19613397,2024-4-8,0xfb8767d490c00fd7faf867a783c49bc0e42e2a00,1.539e-06,6e-16,1.3e-15,4.5445e-12,0.0,26,1.539e-06,6e-16,0x6906e507725514adf4497f9a0ae4923dabb29d40,Hobbes_ETH,Hobbes,1.539e-06,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x6906e507725514adf4497f9a0ae4923dabb29d40,Hobbes_ETH,Hobbes,1.539e-06,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,3.0,70000000000.0,1712683523,2024-04-09 17:25:23,1,24,1,0,1738,74544,21,3,0.0,6.666666666666667,74.03487871717402,77.28,0.0,True,74544,burn,1712683523,2024-04-09 17:25:23,9.462637750901827,6.53e-16,-1.0,20.706666666666667h,True
19613321,2024-4-8,0xbe292a1e797a6bd47fd6e08a931819c281aa73a7,1.769800761000002e+24,3e-16,3e-16,1.1261e-12,0.731778655059027,5,1.769800761000002e+24,3e-16,0x5bf8d2aeda8ece0373c4f0c5b28633df3a5ab834,AI Nexus,AIN,1.769800761000002e+24,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x5bf8d2aeda8ece0373c4f0c5b28633df3a5ab834,AI Nexus,AIN,1.769800761000002e+24,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0.1,5355000000.0,1712612255,2024-04-08 21:37:35,1,4,0,0,1206,0,3,1,0.0,100.0,0.0,0.0,0.0,True,4188,swap,1712612255,2024-04-08 21:37:35,0.2801753372040807,3.05e-16,-0.9999999999999988,1.1633333333333333h,True
19613302,2024-4-8,0xcea4e1e691467518f06e4cc693dc1ceb74b31865,7.066054e-10,0.0,0.0,3.7e-15,0.0,3,7.066054e-10,0.0,0x329cc9467388d559d26f94f37fd7cc6777355479,Anita Moon,MOON,7.066054e-10,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x329cc9467388d559d26f94f37fd7cc6777355479,Anita Moon,MOON,7.066054e-10,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,1.8,1000000000000.0,1712622035,2024-04-09 00:20:35,1,1,1,0,12960,12996,1,0,0.0,50.0,63.356767594314654,94.8,0.0,True,12996,burn,1712622035,2024-04-09 00:20:35,1.8990099009900991,1e-18,-1.0,3.61h,True
19613282,2024-4-8,0xa049242d673bb4ee2bb27b90ed696057d3ec7427,0.0,7.6938e-12,0.0,6.9e-15,0.0,82,7.6938e-12,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xd1d906634b4f7fb84911bbe45a24e81e89a07403,Test,TST,7.6938e-12,82,0xd1d906634b4f7fb84911bbe45a24e81e89a07403,Test,TST,7.6938e-12,82,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,1.0,1000000000.0,1712717495,2024-04-10 02:51:35,1,80,1,0,548,109800,80,0,0.0,1.2658227848101269,17.963889376162008,17.03,0.0,True,109800,burn,1712717495,2024-04-10 02:51:35,4.127466657525792,1e-18,-1.0,30.5h,True
19613187,2024-4-8,0x4bc441902e4e3eca8b10e97dd79ee8830b0a3e60,7.7169e-12,0.0,0.0,7.3e-15,0.0,49,7.7169e-12,0.0,0x6d02ccf7633cbb178f94c0b042c4b1607dae9352,Ordinals Inscription Index,ORDINALS,7.7169e-12,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x6d02ccf7633cbb178f94c0b042c4b1607dae9352,Ordinals Inscription Index,ORDINALS,7.7169e-12,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,5.0,1000000000.0,1712608139,2024-04-08 20:28:59,1,47,1,0,6,1404,47,0,0.0,2.0408163265306123,54.10992747195658,54.57,0.0,True,1404,burn,1712608139,2024-04-08 20:28:59,9.179595194696292,1e-18,-1.0,0.39h,True
19613170,2024-4-8,0xba3d5a3d17d70db81ce521b25a9a3a8069cdaa3c,2.02e-07,4.9e-15,9.9e-15,3.50026e-11,0.0,94,2.02e-07,4.9e-15,0x0574760663d7b0077868e0568980e6f76928ff76,Tao.Pink,TAOPINK,2.02e-07,94,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x0574760663d7b0077868e0568980e6f76928ff76,Tao.Pink,TAOPINK,2.02e-07,94,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,1.5,81000000.0,1712777723,2024-04-10 19:35:23,1,92,1,0,171387,171516,54,38,0.0,2.857142857142857,70.8706677184372,72.69,0.0,True,171516,burn,1712777723,2024-04-10 19:35:23,1.7418209962877698,4.998e-15,-0.9999999999999972,47.64333333333333h,True
19613095,2024-4-8,0x01d37af3bb894cc16074459cd33f9797ea2ebb85,6.400000308363753e+18,5.2769325e-08,5.2769325e-08,0.000194564538416,18.34535363518512,9,6.400000308363753e+18,5.2769325e-08,0x4b193cadc1929741f918a7c469ce9d6e03c0c1d2,𝕏Eclipse,𝕏Eclipse,6.400000308363753e+18,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x4b193cadc1929741f918a7c469ce9d6e03c0c1d2,𝕏Eclipse,𝕏Eclipse,6.400000308363753e+18,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,1.0,336552000000.0,1712605511,2024-04-08 19:45:11,1,8,0,0,109,0,5,3,0.0,50.0,19.79898987322333,0.0,0.0,True,216,,0,1970-01-01 00:00:00,0.0,0.0,,0.0h,False
19612979,2024-4-8,0x440060e99e3e5bb0f9e532ffb319a5beaf5da053,1.873e-06,5e-16,1e-15,3.9572e-12,0.0,34,1.873e-06,5e-16,0x4e3658f9722aa40c07b24195d6e7b3c72d245979,Masa Network AI,NeteorkAI,1.873e-06,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x4e3658f9722aa40c07b24195d6e7b3c72d245979,Masa Network AI,NeteorkAI,1.873e-06,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,10.0,100000000000.0,1712611535,2024-04-08 21:25:35,1,32,1,0,1613,7644,28,4,0.0,5.2631578947368425,56.485553159984846,59.2,0.0,True,7644,burn,1712611535,2024-04-08 21:25:35,16.940803227349495,5.36e-16,-1.0,2.1233333333333335h,True
19612946,2024-4-8,0xbf1b66f6d7ea6a1a2f7a251968fa1c6b5c120e30,2.9e-07,3.5e-14,7.01e-14,2.593078e-10,0.0,26,2.9e-07,3.5e-14,0x592fad10e9f6ad6df0c300f2f5294d02383ec353,TAO Minting System,MinTAO,2.9e-07,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x592fad10e9f6ad6df0c300f2f5294d02383ec353,TAO Minting System,MinTAO,2.9e-07,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,3.0,71250000.0,1712604167,2024-04-08 19:22:47,1,24,1,0,69,576,22,2,0.0,4.166666666666667,52.53515331026775,46.75,0.0,True,576,burn,1712604167,2024-04-08 19:22:47,5.127699928075112,3.5073e-14,-0.9999999999999932,0.16h,True
19612885,2024-4-8,0x41e296f02b6b570d75ffb6e01c29481aa723cc26,0.0,108027.99193630728,0.0,3.5e-15,0.0,98,108027.99193630728,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xf680b83580885c934bea1fc51fda133bb6c177cd,TheIndifferentDuck,DUCK,108027.99193630728,98,0xf680b83580885c934bea1fc51fda133bb6c177cd,TheIndifferentDuck,DUCK,108027.99193630728,98,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,3.0,97000000.0,1712699507,2024-04-09 21:51:47,1,96,1,0,18064,23664,74,22,2.07,2.9411764705882355,35.62205991995939,36.1,2.07,True,96744,burn,1712626427,2024-04-09 01:33:47,8.840477338335658,1e-18,-1.0,6.573333333333333h,True
